max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
0 : mul(mul(29, -9), mul(-27, 7))
1 : add(add(25, 41), mul(41, 5))
0 : mul(add(45, -27), add(23, 41))
0 : add(add(45, 25), add(21, 5))
0 : mul(add(-11, 5), add(10, 41))
0 : add(add(3, 5), add(7, 45))
0 : add(add(9, 21), mul(0, 5))
0 : mul(add(4, 2), add(5, 4))
0 : add(add(21, 5), add(41, 19))
0 : add(mul(41, 41), mul(-11, 41))
0 : mul(mul(-9, -11), add(41, k))
0 : mul(add(41, 21), mul(9, -11))
0 : mul(add(-1, 49), add(k, -27))
0 : mul(mul(k, -11), add(k, 21))
0 : mul(mul(25, 19), mul(41, 21))
0 : mul(mul(-27, 25), mul(7, 19))
0 : mul(add(-11, 23), mul(21, 21))
0 : mul(add(2, -2), mul(-2, -27))
0 : add(mul(41, 45), add(45, -9))
0 : mul(add(-24, 9), mul(add(17, k), 13))
0 : add(add(13, 5), mul(19, -9))
0 : add(mul(3, -9), add(5, 13))
1 : add(add(-27, 21), mul(41, 25))
0 : add(add(5, 21), add(5, 41))
0 : add(mul(41, 45), add(21, 19))
0 : add(add(-27, -27), add(-9, 41))
0 : add(mul(-9, 10), mul(21, 21))
0 : add(mul(45, 5), add(13, -24))
0 : add(mul(-27, -27), add(-4, 33))
0 : add(add(13, -9), add(15, 45))
0 : add(add(1, -3), mul(10, 41))
0 : mul(add(21, mul(41, -9)), mul(7, 13))
0 : mul(add(-27, 3), mul(-11, 41))
0 : add(mul(-3, 45), mul(21, 7))
0 : mul(add(7, 45), add(-9, -27))
0 : add(add(-15, 13), add(-27, 25))
0 : mul(add(-9, 1), mul(k, 29))
0 : add(add(11, 41), add(11, 13))
0 : add(add(41, 9), add(-9, -15))
0 : add(mul(21, 2), add(10, -6))
0 : add(add(45, 41), add(3, -27))
0 : add(add(-24, -9), add(21, -27))
0 : mul(add(21, -9), mul(21, -9))
0 : mul(mul(3, -9), mul(5, 7))
0 : add(mul(11, -9), mul(-27, 26))
0 : mul(add(7, 41), mul(21, k))
1 : add(add(31, 13), add(-2, 41))
0 : mul(mul(21, 21), add(41, 21))
0 : add(mul(13, 8), add(13, 11))
0 : add(add(4, 21), add(41, 4))
0 : add(mul(41, -3), add(3, 1))
0 : mul(add(7, 31), mul(21, -27))
0 : mul(add(45, 5), mul(-24, 10))
0 : mul(add(9, -15), mul(k, -27))
0 : mul(mul(21, 19), mul(7, 45))
0 : mul(add(k, -27), add(31, 21))
0 : add(mul(8, 25), add(7, 5))
1 : add(add(19, -15), mul(-15, -9))
0 : add(add(-9, 3), add(-11, 3))
1 : add(mul(21, 3), add(25, -9))
0 : add(add(5, 13), mul(3, 19))
0 : add(add(19, 5), add(41, 3))
1 : add(mul(23, 45), add(9, -11))
0 : add(mul(-11, -24), add(-1, -9))
0 : mul(add(21, 25), add(41, 10))
0 : add(add(5, 13), add(21, 45))
0 : mul(add(-9, 23), add(10, 41))
0 : add(mul(41, 13), mul(5, -9))
0 : mul(mul(11, 3), add(41, 43))
0 : add(mul(25, -2), mul(10, 49))
0 : add(add(-9, 7), mul(45, 9))
0 : mul(mul(41, 45), mul(25, -15))
0 : mul(add(k, 41), mul(-27, 2))
1 : add(add(-9, 19), add(21, -24))
0 : add(mul(13, 41), add(21, 2))
0 : add(add(-27, 15), mul(9, -15))
0 : mul(add(-3, -3), add(21, 25))
0 : add(mul(5, -11), mul(-27, 41))
0 : mul(mul(45, 5), add(41, 7))
0 : add(mul(5, 27), add(3, -2))
0 : add(add(5, -27), mul(31, 5))
0 : add(add(17, -11), mul(21, -27))
0 : add(add(45, -2), mul(-9, -3))
0 : mul(mul(41, 1), mul(45, 8))
0 : add(mul(41, 41), add(-9, 33))
0 : mul(add(-11, 5), add(1, 17))
0 : add(add(45, -11), mul(26, 13))
1 : add(add(-27, 10), add(13, 41))
