max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 500, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
22 : add(add(5, 9), add(k, 15))
20 : add(add(21, -3), mul(k, k))
28 : add(add(13, k), add(k, k))
25 : add(add(5, -4), add(k, -3))
23 : add(add(-18, 2), add(k, 3))
60 : add(add(k, 17), mul(k, k))
18 : add(add(3, k), mul(19, 9))
11 : add(add(15, k), mul(k, k))
5 : add(add(-15, 41), mul(k, k))
42 : add(mul(-3, -3), add(k, k))
0 : add(add(9, mul(k, 9)), mul(k, 21))
33 : add(mul(11, 19), add(k, k))
24 : add(add(15, -18), add(9, k))
17 : add(mul(17, 15), add(-4, k))
22 : add(add(5, 9), add(k, 15))
22 : add(add(-37, k), mul(k, k))
36 : add(add(-37, k), mul(k, 7))
32 : add(add(-4, 41), mul(k, k))
5 : add(add(17, 9), mul(k, k))
22 : add(mul(k, k), add(k, -37))
14 : add(mul(k, k), add(21, k))
86 : add(add(k, 41), mul(k, k))
40 : add(add(add(k, k), 13), add(9, 7))
60 : add(add(k, 17), mul(k, k))
40 : add(add(k, k), add(4, 37))
27 : add(add(k, 9), mul(k, 15))
32 : add(mul(k, k), add(k, 7))
25 : add(add(5, -4), add(k, -3))
14 : add(mul(k, k), add(21, k))
33 : add(mul(2, k), add(-4, k))
20 : add(add(13, 5), mul(k, k))
14 : add(add(mul(-37, -15), -2), mul(add(k, 9), 23))
0 : add(mul(41, k), add(-15, k))
25 : add(add(-3, 2), add(k, 6))
21 : add(add(9, 25), add(k, 5))
30 : add(add(k, 9), mul(k, 7))
51 : add(add(mul(k, -3), 13), mul(9, k))
38 : add(mul(3, k), add(5, k))
8 : add(add(-4, 9), mul(k, k))
20 : add(add(15, k), mul(9, 9))
28 : add(add(mul(k, 37), -3), mul(9, k))
1 : add(add(-3, 2), mul(k, k))
15 : add(add(19, mul(9, 27)), add(k, 21))
30 : add(add(k, 9), mul(k, 7))
17 : add(mul(13, k), add(9, -3))
57 : add(add(5, k), mul(k, 5))
56 : add(add(11, k), mul(k, 5))
43 : add(add(k, k), add(2, 5))
35 : add(add(k, k), mul(15, -3))
15 : add(mul(5, mul(9, 27)), mul(k, k))
41 : add(add(k, k), add(5, -18))
16 : add(add(27, k), mul(k, k))
23 : add(add(-18, k), add(5, -3))
15 : add(mul(k, k), add(-15, k))
24 : add(add(7, k), add(4, -18))
20 : add(add(-37, -3), mul(k, 7))
16 : add(mul(11, k), mul(25, 7))
0 : add(add(k, k), add(9, k))
46 : add(mul(k, 9), add(k, 7))
40 : add(add(-4, 41), mul(2, k))
12 : add(mul(k, k), add(9, -3))
6 : add(mul(k, k), add(3, -37))
13 : add(mul(29, k), add(-15, 3))
60 : add(mul(k, k), add(17, k))
50 : add(mul(11, k), add(k, 17))
