max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.1, 

Maximum Fitness: 86
Fitness score : Individual 
4 : add(mul(add(17, add(mul(k, -1), add(-1, 11))), k), add(13, add(13, 41)))
20 : add(mul(5, 39), mul(-1, k))
1 : add(mul(-11, k), add(7, 21))
21 : add(add(k, 21), add(21, 1))
19 : add(add(add(39, mul(add(k, k), add(-1, 1))), k), add(39, add(17, 41)))
5 : add(mul(-1, k), add(-1, 13))
25 : add(add(k, 19), add(-1, -19))
17 : add(mul(-12, -19), add(41, k))
11 : add(mul(k, k), add(13, 19))
18 : add(add(41, k), mul(13, 7))
25 : add(mul(41, 41), mul(4, k))
21 : add(add(39, 0), add(k, 13))
21 : add(add(k, -19), add(41, 13))
28 : add(mul(41, 21), add(k, k))
19 : add(add(41, 31), mul(k, k))
24 : add(add(k, 21), add(-19, -12))
16 : add(add(39, k), mul(21, 13))
16 : add(add(mul(7, add(add(21, 21), add(-1, 11))), k), add(-19, add(13, 41)))
19 : add(add(add(9, add(add(k, 21), add(21, 39))), 21), add(41, add(39, -12)))
19 : add(mul(5, 21), add(k, -1))
20 : add(mul(13, 31), mul(k, -8))
21 : add(add(k, -8), add(-19, 4))
24 : add(add(5, 4), add(-1, k))
24 : add(add(21, -8), add(k, -1))
5 : add(add(-19, add(15, 39)), mul(k, k))
14 : add(mul(41, 39), add(k, -1))
4 : add(mul(mul(17, add(add(k, 11), add(-1, -1))), 21), add(-19, add(3, k)))
24 : add(add(-1, 21), add(-12, k))
5 : add(mul(add(39, add(mul(39, k), add(-19, 17))), k), add(21, add(17, -19)))
19 : add(add(k, 39), add(5, 31))
16 : add(mul(39, 39), add(k, -1))
17 : add(mul(23, 31), mul(k, 7))
19 : add(add(k, 21), add(43, -1))
18 : add(add(-12, k), mul(39, 5))
41 : add(add(19, 39), mul(k, k))
19 : add(add(k, -12), add(-19, -1))
20 : add(add(21, k), add(41, 5))
3 : add(mul(add(19, mul(add(0, k), add(-1, 17))), k), add(21, add(17, 41)))
12 : add(mul(add(21, add(mul(k, 11), add(-19, 13))), k), add(13, add(17, 41)))
18 : add(mul(add(17, add(mul(7, k), add(-19, 17))), k), add(21, add(17, 41)))
12 : add(mul(add(31, add(mul(k, 4), add(41, 17))), k), add(-1, add(19, 5)))
22 : add(add(17, k), mul(1, 5))
21 : add(add(k, 19), mul(-19, -1))
2 : add(mul(add(k, mul(mul(k, k), mul(5, 11))), k), add(19, add(13, 41)))
22 : add(mul(add(5, mul(mul(0, k), add(-19, 17))), k), add(39, add(17, 31)))
15 : add(mul(k, k), add(21, 13))
19 : add(add(k, -12), add(41, 19))
4 : add(mul(add(17, add(mul(k, k), mul(-1, 7))), k), add(21, add(-19, 41)))
18 : add(add(5, 19), mul(k, 19))
20 : add(add(k, 5), add(41, 21))
19 : add(add(k, 41), add(41, 7))
86 : add(mul(k, k), add(41, k))
20 : add(add(k, 5), add(41, 21))
39 : add(add(k, k), add(0, 21))
23 : add(mul(k, 7), mul(4, -1))
24 : add(add(k, 0), mul(7, -1))
22 : add(mul(k, 27), add(41, -1))
7 : add(mul(k, k), mul(5, 39))
25 : add(add(-1, 13), add(k, -1))
20 : add(add(4, 31), add(15, k))
19 : add(add(41, 4), add(39, k))
1 : add(mul(-11, k), add(39, 21))
9 : add(mul(add(-19, add(mul(k, 11), add(-1, 13))), k), add(19, add(17, 41)))
20 : add(add(21, 21), add(19, k))
7 : add(mul(add(-8, mul(add(k, 11), add(-19, 21))), k), add(19, add(39, 41)))
22 : add(add(k, -19), add(4, 43))
42 : add(add(k, 5), add(-12, k))
16 : add(add(mul(31, 31), k), add(39, 1))
12 : add(add(-19, 21), mul(k, k))
16 : add(add(k, 31), mul(13, 39))
21 : add(add(k, 13), add(-19, 39))
1 : add(mul(k, k), mul(4, -1))
25 : add(add(5, k), mul(-11, 0))
23 : add(add(k, 5), add(-1, -19))
5 : add(mul(3, 4), mul(-1, k))
25 : add(add(15, 7), add(-19, k))
24 : add(add(k, -19), add(0, 13))
1 : add(mul(-19, 13), mul(19, k))
7 : add(mul(add(13, add(add(k, 11), add(7, 17))), k), add(31, add(9, 41)))
6 : add(add(add(13, mul(add(k, k), add(-19, 17))), k), add(0, add(4, 41)))
37 : add(add(k, 19), mul(39, k))
37 : add(mul(k, 4), add(21, -12))
21 : add(mul(39, k), add(7, -8))
9 : add(mul(add(-19, add(mul(k, 11), add(k, 13))), k), add(21, add(17, 41)))
21 : add(mul(1, 1), add(41, k))
24 : add(add(-19, -12), add(k, 21))
8 : add(mul(add(17, add(mul(k, k), add(-19, 17))), k), add(21, add(21, 21)))
21 : add(add(-19, k), mul(5, 11))
22 : add(add(k, 13), add(39, -12))
19 : add(add(-11, k), mul(7, 21))
24 : add(add(k, 0), add(-1, 13))
7 : add(mul(add(-12, mul(add(k, 11), add(7, k))), k), add(31, add(9, 19)))
19 : add(add(39, k), add(43, -1))
3 : add(mul(add(31, mul(add(k, k), add(-1, 17))), k), add(21, add(17, 41)))
24 : add(add(-11, k), add(7, 21))
19 : add(mul(13, k), add(-1, 3))
15 : add(add(21, 13), mul(k, k))
1 : add(mul(add(-1, mul(add(k, k), add(-1, 17))), k), add(21, add(-8, 41)))
19 : add(add(21, 39), add(k, 13))
19 : add(mul(k, k), mul(-12, 1))
17 : add(mul(add(27, add(mul(k, 11), add(-19, -19))), k), add(21, add(17, 41)))
15 : add(add(13, k), mul(21, 13))
7 : add(mul(add(13, add(mul(k, k), add(-19, 19))), k), add(21, add(39, 41)))
4 : add(mul(add(39, add(mul(39, k), add(21, 17))), k), add(21, add(17, 1)))
20 : add(mul(3, 13), add(5, k))
22 : add(add(-19, 21), add(27, k))
5 : add(add(add(k, add(mul(k, k), mul(-1, 7))), k), add(21, add(-19, 41)))
40 : add(add(-1, add(15, 5)), add(k, k))
37 : add(mul(39, k), add(11, k))
4 : add(mul(add(k, mul(mul(k, -1), add(-19, 21))), k), add(31, mul(-1, k)))
6 : add(mul(add(-8, mul(add(k, 11), add(-1, 17))), k), add(13, add(-1, 41)))
10 : add(add(-19, 4), mul(k, k))
21 : add(add(5, 13), add(k, 7))
