max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.5, 

Maximum Fitness: 86
Fitness score : Individual 
1 : add(mul(15, k), add(k, k))
18 : add(add(41, k), add(19, 67))
12 : add(mul(k, 67), mul(19, 19))
15 : add(mul(17, 35), add(k, 13))
16 : add(mul(23, k), add(13, 7))
17 : add(add(k, -23), mul(13, 21))
21 : add(add(k, 6), add(19, 13))
19 : add(add(41, 19), add(k, 13))
11 : add(mul(-10, 6), add(-5, k))
23 : add(mul(k, 7), add(-23, 19))
20 : add(add(35, 7), add(5, k))
21 : add(add(18, 7), add(27, k))
19 : add(add(9, k), add(-27, 67))
13 : add(mul(17, 67), add(7, add(-9, k)))
2 : add(mul(k, -21), add(k, 37))
18 : add(add(67, 37), add(21, k))
18 : add(add(k, 35), mul(13, 7))
17 : add(add(7, 5), mul(29, k))
14 : add(mul(17, 67), add(k, 7))
21 : add(add(18, 13), add(k, 6))
12 : add(add(7, 21), mul(k, 67))
21 : add(add(27, 5), add(k, 11))
1 : add(add(k, -21), add(k, 13))
29 : add(add(k, 1), mul(k, 15))
20 : add(add(18, k), add(53, 27))
17 : add(mul(11, k), add(-21, 19))
21 : add(add(k, 21), add(13, 5))
20 : add(mul(6, 13), mul(k, 7))
21 : add(add(19, k), add(23, 11))
4 : add(mul(11, 21), mul(k, -13))
14 : add(mul(-23, -21), add(k, 18))
21 : add(add(21, 35), add(k, 3))
14 : add(mul(21, 41), add(13, k))
13 : add(add(k, 19), mul(18, 37))
0 : add(mul(17, 67), mul(67, k))
24 : add(add(k, 19), add(1, -8))
0 : add(mul(17, 21), mul(k, 9))
21 : add(add(-23, 53), add(-3, k))
0 : add(mul(-21, k), add(35, k))
7 : add(add(27, 27), mul(k, k))
20 : add(add(13, k), add(21, 21))
12 : add(mul(41, -2), add(k, 21))
25 : add(add(k, 7), add(-23, 19))
20 : add(add(31, k), add(15, 23))
0 : mul(mul(k, 1), add(k, 15))
15 : add(mul(-21, -21), add(k, 67))
24 : add(add(add(7, 11), k), add(-13, -13))
12 : add(mul(21, 7), mul(19, k))
2 : add(add(53, 11), mul(-9, k))
20 : add(mul(19, 3), add(7, k))
17 : add(add(41, k), add(23, 53))
15 : add(mul(45, 13), add(k, 53))
16 : add(add(k, -9), mul(21, 13))
24 : add(add(18, 7), mul(k, k))
0 : add(add(k, -1), add(k, 19))
1 : add(mul(2, k), add(k, -6))
24 : add(add(15, k), add(-21, 13))
25 : add(add(0, k), mul(0, 19))
20 : add(add(19, k), mul(4, 7))
24 : add(add(k, -9), add(9, 12))
21 : add(mul(0, 2), add(53, k))
0 : mul(add(13, -1), add(7, 19))
0 : mul(add(21, 13), add(k, 7))
19 : add(add(k, 25), mul(13, 15))
20 : add(add(-9, 21), mul(k, 25))
12 : add(mul(k, 53), add(-9, 53))
11 : add(add(19, 13), mul(k, k))
22 : add(add(13, 15), add(k, 13))
16 : add(mul(13, k), mul(21, 15))
0 : add(add(-21, -9), add(13, 11))
18 : add(mul(k, k), add(5, 7))
0 : add(mul(k, add(23, k)), mul(67, k))
14 : add(mul(k, 19), mul(17, 9))
16 : add(add(k, 29), mul(17, 21))
20 : add(mul(41, 41), mul(k, -21))
13 : add(add(67, 17), mul(37, k))
30 : add(mul(21, 67), add(k, k))
0 : add(add(k, 17), mul(5, -23))
38 : add(mul(19, k), add(11, k))
0 : add(add(41, k), mul(-9, 21))
21 : add(add(k, 17), add(0, 7))
20 : add(add(k, 13), add(53, 3))
11 : add(mul(19, 67), add(k, 23))
21 : add(add(6, 41), mul(k, 5))
